index,remedy_type,condition_type1,condition_type2,condition_type3,condition_type4,condition_type5,condition_type6,condition_type7,condition_type8,condition_type9,label,remedy_name
1,scrub,oily,normal,dry,dark spots,glowing,dullness,moisturising,brightening,cleansing,1,Sugar And Honey Scrub
2,scrub,oily,normal,dry,dark spots,glowing,whitening,dullness,moisturising,brightening,2,Honey Sugar Facial Scrub
3,scrub,oily,normal,dry,dark spots,glowing,whitening,dullness,moisturising,NaN,3,Coffee Scrub
4,scrub,oily,normal,dry,glowing,moisturising,brightening,dullness,NaN,NaN,4,Homemade Scrub For Glowing
5,scrub,oily,normal,dry,glowing,whitening,dullness,moisturising,brightening,cleansing,5,Rice Scrub
6,scrub,oily,normal,dry,dark spots,glowing,whitening,dullness,moisturising,NaN,6,Coffee Scrub
7,scrub,oily,normal,dry,dark spots,glowing,whitening,dullness,cleansing,NaN,7,Tomato Facial Scrub
8,scrub,cleansing,oily,dark circle ,open pores,whitening,wrinkles,normal,dry,NaN,8,White Egg Scrub
9,scrub,normal,pigmentation,glowing,dark circle ,NaN,NaN,NaN,NaN,NaN,9,Remove Dark Spots Remedy With Yogurt
10,scrub,dark spots,pigmentation,dullness,NaN,NaN,NaN,NaN,NaN,NaN,10,Deep Pigmentation Scrub
11,scrub,dark spots,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,Tomato And Rice Scrub
12,scrub,dark spots,pigmentation,tan,glowing,whitening,NaN,NaN,NaN,NaN,12,Banana Scrub
13,scrub,oily,normal,dry,dark spots,glowing,whitening,dullness,moisturising,pimple,13,Coffee Scrub
14,scrub,glowing,whitening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14,Beetroot Face Scrub
15,scrub,cleansing,anti ageing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,Aloe Vera Scrub
16,scrub,dry,dark spots,brightening,cleansing,normal,NaN,NaN,NaN,NaN,16,Grape Scrub
17,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,Tomato Scrub
18,scrub,oily,normal,dry,NaN,NaN,NaN,NaN,NaN,NaN,18,Banana For Face Scrub
19,scrub,dry,dullness,brightening,cleansing,NaN,NaN,NaN,NaN,NaN,19,Coconut Oil Scrub
20,scrub,dullness,moisturising,acne,dry,NaN,NaN,NaN,NaN,NaN,20,Green Tea Scrub
21,scrub,dark spots,tan,cleansing,NaN,NaN,NaN,NaN,NaN,NaN,21,Orange Scrub
22,scrub,cleansing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,Coffee Scrub
23,scrub,cleansing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23,Rose Scrub
24,scrub,cleansing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,Charcoal Scrub
25,scrub,glowing,cleansing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,Oats Scrub
26,scrub,glowing,brightening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,Carrot Powder Scrub
27,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27,Lemon Scrub
28,scrub,brightening,cleansing,normal,NaN,NaN,NaN,NaN,NaN,NaN,28,Charcoal Scrub
29,scrub,dullness,acne,cleansing,NaN,NaN,NaN,NaN,NaN,NaN,29,Masoor Dal Scrub
30,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,Masoor Dal Face Scrub
31,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31,Green Gram Scrub
32,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,Green Gram Face Scrub
33,scrub,cleansing,normal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33,Blackheads Remover Scrub
34,scrub,tan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34,Mulpigmentationi Mitti Scrub
35,scrub,dark spots,dullness,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35,Banana Scrub
36,scrub,dark spots,pigmentation,glowing,brightening,acne,NaN,NaN,NaN,NaN,36,Curd Scrub
37,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,Honey Scrub
38,scrub,dark spots,dullness,brightening,NaN,NaN,NaN,NaN,NaN,NaN,38,Sandalwood Scrub
39,scrub,normal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39,Saffron And Banana Scrub
40,scrub,normal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40,Bay Leaves Face Scrub
41,scrub,normal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,Almond Face Scrub
42,scrub,normal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42,Almond Body Scrub
43,scrub,dullness,acne,open pores,NaN,NaN,NaN,NaN,NaN,NaN,43,Tomato Scrub
44,scrub,moisturising,dullness,open pores,NaN,NaN,NaN,NaN,NaN,NaN,44,Cucumber Scrub
45,scrub,dullness,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,Watermelon Scrub
46,scrub,tan,anti ageing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46,Face Scrub
47,scrub,dullness,brightening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47,Turmeric Scrub
48,scrub,glowing,brightening,dullness,NaN,NaN,NaN,NaN,NaN,NaN,48,Fresh Aloe Vera Gel Face Scrub
49,scrub,oily,normal,dry,dark spots,pigmentation,whitening,dullness,pimple,tan,49,Potato Powder Scrub
50,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,Potato For Face Scrub
51,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51,Face Body Scrub
52,scrub,cleansing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52,Coffee Scrub
53,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53,Almond Face Scrub
54,scrub,dry,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54,Glycerin Face Scrub
55,scrub,oily,normal,dry,pimple,tan,brightening,pimple,wrinkles,dullness,55,Almond Scrub
56,scrub,dry,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56,Coffee And Coconut Scrub
